file,class,method,variable,usage
/home/mohit/projects/cwa-server-main/services/distribution/src/main/java/app/coronawarn/server/services/distribution/statistics/file/StatisticJsonFileLoader.java,app.coronawarn.server.services.distribution.statistics.file.StatisticJsonFileLoader,"getFileIfUpdated/2[app.coronawarn.server.services.distribution.statistics.StatisticType,java.lang.String]",statisticType,0
/home/mohit/projects/cwa-server-main/services/distribution/src/main/java/app/coronawarn/server/services/distribution/statistics/file/StatisticJsonFileLoader.java,app.coronawarn.server.services.distribution.statistics.file.StatisticJsonFileLoader,"getFileIfUpdated/2[app.coronawarn.server.services.distribution.statistics.StatisticType,java.lang.String]",etag,0
/home/mohit/projects/cwa-server-main/services/distribution/src/main/java/app/coronawarn/server/services/distribution/statistics/file/StatisticJsonFileLoader.java,app.coronawarn.server.services.distribution.statistics.file.StatisticJsonFileLoader,getFile/1[app.coronawarn.server.services.distribution.statistics.StatisticType],statisticType,0
/home/mohit/projects/cwa-server-main/services/distribution/src/main/java/app/coronawarn/server/services/distribution/statistics/file/StatisticJsonFileLoader.java,app.coronawarn.server.services.distribution.statistics.file.StatisticJsonFileLoader,getFileIfUpdated/1[java.lang.String],etag,1
/home/mohit/projects/cwa-server-main/services/distribution/src/main/java/app/coronawarn/server/services/distribution/config/DistributionServiceConfig.java,app.coronawarn.server.services.distribution.config.DistributionServiceConfig$DigitalGreenCertificate,setCclDirectory/1[java.lang.String],cclDirectory,2
/home/mohit/projects/cwa-server-main/services/distribution/src/main/java/app/coronawarn/server/services/distribution/config/DistributionServiceConfig.java,app.coronawarn.server.services.distribution.config.DistributionServiceConfig$DigitalGreenCertificate,setProphylaxisJsonPath/1[java.lang.String],prophylaxisJsonPath,2
/home/mohit/projects/cwa-server-main/services/distribution/src/main/java/app/coronawarn/server/services/distribution/config/DistributionServiceConfig.java,app.coronawarn.server.services.distribution.config.DistributionServiceConfig$DigitalGreenCertificate,setDiseaseAgentTargetedJsonPath/1[java.lang.String],diseaseAgentTargetedJsonPath,2
/home/mohit/projects/cwa-server-main/services/distribution/src/main/java/app/coronawarn/server/services/distribution/config/DistributionServiceConfig.java,app.coronawarn.server.services.distribution.config.DistributionServiceConfig$DigitalGreenCertificate,setMahJsonPath/1[java.lang.String],mahJsonPath,2
/home/mohit/projects/cwa-server-main/services/distribution/src/main/java/app/coronawarn/server/services/distribution/config/DistributionServiceConfig.java,app.coronawarn.server.services.distribution.config.DistributionServiceConfig$DigitalGreenCertificate,setSupportedLanguages/1[java.lang.String[]],supportedLanguages,2
/home/mohit/projects/cwa-server-main/services/distribution/src/main/java/app/coronawarn/server/services/distribution/config/DistributionServiceConfig.java,app.coronawarn.server.services.distribution.config.DistributionServiceConfig$DigitalGreenCertificate,setAllowList/1[java.lang.String],allowList,2
/home/mohit/projects/cwa-server-main/services/distribution/src/main/java/app/coronawarn/server/services/distribution/config/DistributionServiceConfig.java,app.coronawarn.server.services.distribution.config.DistributionServiceConfig$DigitalGreenCertificate,setAllowListSignature/1[java.lang.String],allowListSignature,2
/home/mohit/projects/cwa-server-main/services/distribution/src/main/java/app/coronawarn/server/services/distribution/config/DistributionServiceConfig.java,app.coronawarn.server.services.distribution.config.DistributionServiceConfig$DigitalGreenCertificate,setTestTypeJsonPath/1[java.lang.String],testTypeJsonPath,2
/home/mohit/projects/cwa-server-main/services/distribution/src/main/java/app/coronawarn/server/services/distribution/config/DistributionServiceConfig.java,app.coronawarn.server.services.distribution.config.DistributionServiceConfig$DigitalGreenCertificate,setCclAllowList/1[java.lang.String[]],cclAllowList,2
/home/mohit/projects/cwa-server-main/services/distribution/src/main/java/app/coronawarn/server/services/distribution/config/DistributionServiceConfig.java,app.coronawarn.server.services.distribution.config.DistributionServiceConfig$DigitalGreenCertificate,setClient/1[app.coronawarn.server.services.distribution.config.DistributionServiceConfig.Client],client,2
/home/mohit/projects/cwa-server-main/services/distribution/src/main/java/app/coronawarn/server/services/distribution/config/DistributionServiceConfig.java,app.coronawarn.server.services.distribution.config.DistributionServiceConfig$DigitalGreenCertificate,setTestResultJsonPath/1[java.lang.String],testResultJsonPath,2
/home/mohit/projects/cwa-server-main/services/distribution/src/main/java/app/coronawarn/server/services/distribution/config/DistributionServiceConfig.java,app.coronawarn.server.services.distribution.config.DistributionServiceConfig$DigitalGreenCertificate,setExportArchiveName/1[java.lang.String],exportArchiveName,2
/home/mohit/projects/cwa-server-main/services/distribution/src/main/java/app/coronawarn/server/services/distribution/config/DistributionServiceConfig.java,app.coronawarn.server.services.distribution.config.DistributionServiceConfig$DigitalGreenCertificate,setAllowListCertificate/1[java.lang.String],allowListCertificate,2
/home/mohit/projects/cwa-server-main/services/distribution/src/main/java/app/coronawarn/server/services/distribution/config/DistributionServiceConfig.java,app.coronawarn.server.services.distribution.config.DistributionServiceConfig$DigitalGreenCertificate,setBoosterNotification/1[java.lang.String],boosterNotification,2
/home/mohit/projects/cwa-server-main/services/distribution/src/main/java/app/coronawarn/server/services/distribution/config/DistributionServiceConfig.java,app.coronawarn.server.services.distribution.config.DistributionServiceConfig$DigitalGreenCertificate,getAllowList/0,typeFactory,1
/home/mohit/projects/cwa-server-main/services/distribution/src/main/java/app/coronawarn/server/services/distribution/config/DistributionServiceConfig.java,app.coronawarn.server.services.distribution.config.DistributionServiceConfig$DigitalGreenCertificate,setDgcDirectory/1[java.lang.String],dgcDirectory,2
/home/mohit/projects/cwa-server-main/services/distribution/src/main/java/app/coronawarn/server/services/distribution/config/DistributionServiceConfig.java,app.coronawarn.server.services.distribution.config.DistributionServiceConfig$DigitalGreenCertificate,setMedicinalProductsJsonPath/1[java.lang.String],medicinalProductsJsonPath,2
/home/mohit/projects/cwa-server-main/services/distribution/src/main/java/app/coronawarn/server/services/distribution/config/DistributionServiceConfig.java,app.coronawarn.server.services.distribution.config.DistributionServiceConfig$DigitalGreenCertificate,setDscClient/1[app.coronawarn.server.services.distribution.config.DistributionServiceConfig.Client],dscClient,2
/home/mohit/projects/cwa-server-main/services/distribution/src/main/java/app/coronawarn/server/services/distribution/config/DistributionServiceConfig.java,app.coronawarn.server.services.distribution.config.DistributionServiceConfig$DigitalGreenCertificate,setTestManfJsonPath/1[java.lang.String],testManfJsonPath,2
/home/mohit/projects/cwa-server-main/services/distribution/src/main/java/app/coronawarn/server/services/distribution/config/DistributionServiceConfig.java,app.coronawarn.server.services.distribution.config.DistributionServiceConfig$DigitalGreenCertificate,setValuesetsFileName/1[java.lang.String],valuesetsFileName,2
/home/mohit/projects/cwa-server-main/services/upload/src/test/java/app/coronawarn/server/services/federation/upload/runner/UploadResponseTest.java,app.coronawarn.server.services.federation.upload.runner.UploadResponseTest,returnFromUpload/1[app.coronawarn.server.services.federation.upload.runner.BatchUploadResponse],response,1
/home/mohit/projects/cwa-server-main/services/upload/src/test/java/app/coronawarn/server/services/federation/upload/runner/UploadResponseTest.java,app.coronawarn.server.services.federation.upload.runner.UploadResponseTest,check500UploadResponseStatus/0,testKey2,2
/home/mohit/projects/cwa-server-main/services/upload/src/test/java/app/coronawarn/server/services/federation/upload/runner/UploadResponseTest.java,app.coronawarn.server.services.federation.upload.runner.UploadResponseTest,check500UploadResponseStatus/0,testKey1,2
/home/mohit/projects/cwa-server-main/services/upload/src/test/java/app/coronawarn/server/services/federation/upload/runner/UploadResponseTest.java,app.coronawarn.server.services.federation.upload.runner.UploadResponseTest,check201And500UploadResponseStatus/0,diagnosisKey,1
/home/mohit/projects/cwa-server-main/services/upload/src/test/java/app/coronawarn/server/services/federation/upload/runner/UploadResponseTest.java,app.coronawarn.server.services.federation.upload.runner.UploadResponseTest,check201And500UploadResponseStatus/0,orderedKeys,3
/home/mohit/projects/cwa-server-main/services/upload/src/test/java/app/coronawarn/server/services/federation/upload/runner/UploadResponseTest.java,app.coronawarn.server.services.federation.upload.runner.UploadResponseTest,check409And500UploadResponseStatus/0,diagnosisKey,1
/home/mohit/projects/cwa-server-main/services/upload/src/test/java/app/coronawarn/server/services/federation/upload/runner/UploadResponseTest.java,app.coronawarn.server.services.federation.upload.runner.UploadResponseTest,check409And500UploadResponseStatus/0,orderedKeys,3
/home/mohit/projects/cwa-server-main/services/upload/src/test/java/app/coronawarn/server/services/federation/upload/runner/UploadResponseTest.java,app.coronawarn.server.services.federation.upload.runner.UploadResponseTest,check409UploadResponseStatus/0,testKey2,2
/home/mohit/projects/cwa-server-main/services/upload/src/test/java/app/coronawarn/server/services/federation/upload/runner/UploadResponseTest.java,app.coronawarn.server.services.federation.upload.runner.UploadResponseTest,check409UploadResponseStatus/0,testKey1,2
/home/mohit/projects/cwa-server-main/services/upload/src/test/java/app/coronawarn/server/services/federation/upload/runner/UploadResponseTest.java,app.coronawarn.server.services.federation.upload.runner.UploadResponseTest,check201UploadResponseStatus/0,testKey2,2
/home/mohit/projects/cwa-server-main/services/upload/src/test/java/app/coronawarn/server/services/federation/upload/runner/UploadResponseTest.java,app.coronawarn.server.services.federation.upload.runner.UploadResponseTest,check201UploadResponseStatus/0,testKey1,2
/home/mohit/projects/cwa-server-main/services/upload/src/test/java/app/coronawarn/server/services/federation/upload/runner/UploadResponseTest.java,app.coronawarn.server.services.federation.upload.runner.UploadResponseTest,check201And409UploadResponseStatus/0,conflictKey,1
/home/mohit/projects/cwa-server-main/services/upload/src/test/java/app/coronawarn/server/services/federation/upload/runner/UploadResponseTest.java,app.coronawarn.server.services.federation.upload.runner.UploadResponseTest,check201And409UploadResponseStatus/0,diagnosisKey,1
/home/mohit/projects/cwa-server-main/services/upload/src/test/java/app/coronawarn/server/services/federation/upload/runner/UploadResponseTest.java,app.coronawarn.server.services.federation.upload.runner.UploadResponseTest,check201And409UploadResponseStatus/0,orderedKeys,3
/home/mohit/projects/cwa-server-main/services/upload/src/test/java/app/coronawarn/server/services/federation/upload/runner/UploadResponseTest.java,app.coronawarn.server.services.federation.upload.runner.UploadResponseTest,check201And409UploadResponseStatus/0,testKey1,1
/home/mohit/projects/cwa-server-main/services/upload/src/test/java/app/coronawarn/server/services/federation/upload/payload/DiagnosisKeyBatchAssemblerTest.java,app.coronawarn.server.services.federation.upload.payload.DiagnosisKeyBatchAssemblerTest$KeysToPartitionProvider,provideArguments/1[app.coronawarn.server.services.federation.upload.payload.ExtensionContext],extensionContext,0
/home/mohit/projects/cwa-server-main/services/distribution/src/main/java/app/coronawarn/server/services/distribution/runner/TestDataGeneration.java,app.coronawarn.server.services.distribution.runner.TestDataGeneration,"generateDiagnosisKey/2[long,java.lang.String]",country,2
/home/mohit/projects/cwa-server-main/services/distribution/src/main/java/app/coronawarn/server/services/distribution/runner/TestDataGeneration.java,app.coronawarn.server.services.distribution.runner.TestDataGeneration,"generateDiagnosisKey/2[long,java.lang.String]",submissionTimestamp,2
/home/mohit/projects/cwa-server-main/services/distribution/src/main/java/app/coronawarn/server/services/distribution/runner/TestDataGeneration.java,app.coronawarn.server.services.distribution.runner.TestDataGeneration,"TestDataGeneration/2[app.coronawarn.server.common.persistence.service.DiagnosisKeyService,app.coronawarn.server.services.distribution.config.DistributionServiceConfig]",diagnosisKeyService,2
/home/mohit/projects/cwa-server-main/services/distribution/src/main/java/app/coronawarn/server/services/distribution/runner/TestDataGeneration.java,app.coronawarn.server.services.distribution.runner.TestDataGeneration,"TestDataGeneration/2[app.coronawarn.server.common.persistence.service.DiagnosisKeyService,app.coronawarn.server.services.distribution.config.DistributionServiceConfig]",distributionServiceConfig,3
/home/mohit/projects/cwa-server-main/services/distribution/src/main/java/app/coronawarn/server/services/distribution/runner/TestDataGeneration.java,app.coronawarn.server.services.distribution.runner.TestDataGeneration,writeTestData/0,country,6
/home/mohit/projects/cwa-server-main/services/distribution/src/main/java/app/coronawarn/server/services/distribution/runner/TestDataGeneration.java,app.coronawarn.server.services.distribution.runner.TestDataGeneration,writeTestData/0,existingDiagnosisKeys,1
/home/mohit/projects/cwa-server-main/services/distribution/src/main/java/app/coronawarn/server/services/distribution/runner/TestDataGeneration.java,app.coronawarn.server.services.distribution.runner.TestDataGeneration,writeTestData/0,diagnosisKey,1
/home/mohit/projects/cwa-server-main/services/distribution/src/main/java/app/coronawarn/server/services/distribution/runner/TestDataGeneration.java,app.coronawarn.server.services.distribution.runner.TestDataGeneration,writeTestData/0,newDiagnosisKeys,2
/home/mohit/projects/cwa-server-main/services/distribution/src/main/java/app/coronawarn/server/services/distribution/runner/TestDataGeneration.java,app.coronawarn.server.services.distribution.runner.TestDataGeneration,writeTestData/0,poisson,1
/home/mohit/projects/cwa-server-main/services/distribution/src/main/java/app/coronawarn/server/services/distribution/runner/TestDataGeneration.java,app.coronawarn.server.services.distribution.runner.TestDataGeneration,writeTestData/0,ignoredValue,0
/home/mohit/projects/cwa-server-main/services/distribution/src/main/java/app/coronawarn/server/services/distribution/runner/TestDataGeneration.java,app.coronawarn.server.services.distribution.runner.TestDataGeneration,writeTestData/0,endTimestamp,3
/home/mohit/projects/cwa-server-main/services/distribution/src/main/java/app/coronawarn/server/services/distribution/runner/TestDataGeneration.java,app.coronawarn.server.services.distribution.runner.TestDataGeneration,writeTestData/0,startTimestamp,4
/home/mohit/projects/cwa-server-main/services/distribution/src/main/java/app/coronawarn/server/services/distribution/runner/TestDataGeneration.java,app.coronawarn.server.services.distribution.runner.TestDataGeneration,writeTestData/0,submissionTimestamp,1
/home/mohit/projects/cwa-server-main/services/distribution/src/main/java/app/coronawarn/server/services/distribution/runner/TestDataGeneration.java,app.coronawarn.server.services.distribution.runner.TestDataGeneration,getGeneratorStartTimestamp/1[java.util.List<app.coronawarn.server.common.persistence.domain.DiagnosisKey>],diagnosisKeys,3
